last_name, first_name,fielder_2,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
,999999,2016,147981,0,45.9,19.3,37.2,13.4,74.6,58.4,34.6,43.4,20.3
Posey, Buster,457763,2016,3403,31,53.4,27.2,43.6,14.7,79.4,68.4,39.9,50.5,24.7
Mathis, Jeff,425772,2016,1048,5,53.2,14.0,29.8,8.6,69.8,66.8,44.2,58.5,45.5
Grandal, Yasmani,518735,2016,3284,28,52.7,28.7,48.7,23.3,74.7,71.8,31.1,47.3,29.6
Barnes, Austin,605131,2016,160,0,52.5,66.7,20.0,20.0,80.0,73.5,14.3,56.1,32.0
Lobaton, Jose,446653,2016,962,4,51.8,21.1,30.9,1.9,77.8,58.3,54.2,59.4,31.8
d'Arnaud, Travis,518595,2016,2085,8,51.4,28.7,39.3,16.7,77.0,65.4,38.1,51.9,26.4
Montero, Miguel,471083,2016,1851,9,50.7,17.7,40.4,18.6,76.0,61.0,36.5,55.3,32.5
Perez, Roberto,547379,2016,1815,9,50.5,23.3,54.2,19.6,77.1,67.0,31.2,40.5,19.2
Flowers, Tyler,452095,2016,2207,9,50.5,9.9,29.2,8.2,77.0,58.1,49.7,62.8,28.7
Rivera, Rene,425784,2016,1569,6,49.9,22.4,40.8,14.3,72.4,70.7,40.5,42.9,25.9
Ross, David,424325,2016,1520,3,49.8,15.3,37.7,5.4,68.7,71.7,37.3,43.7,33.7
Gattis, Evan,594828,2016,1456,1,49.7,20.0,50.7,16.9,76.5,68.2,31.5,46.4,17.3
Cervelli, Francisco,465041,2016,2602,13,49.6,15.4,21.1,3.1,72.8,55.8,52.5,57.7,27.4
Wolters, Tony,547172,2016,1583,7,49.4,14.6,26.2,11.0,79.1,58.9,44.5,58.5,29.2
Graterol, Juan,492802,2016,128,0,49.2,14.3,50.0,20.0,50.0,84.0,17.6,53.8,40.0
Castro, Jason,488771,2016,3097,12,49.0,22.8,41.5,18.8,72.6,68.3,35.5,43.5,23.2
Maldonado, Martin,455117,2016,1929,4,48.9,19.6,33.6,7.4,78.2,57.2,49.7,51.8,23.4
Kratz, Erik,456124,2016,699,1,48.8,25.6,36.7,12.9,74.5,58.5,38.2,49.7,20.0
Plawecki, Kevin,608700,2016,1131,2,48.8,17.1,44.7,6.6,76.6,63.4,36.4,55.8,15.9
Sanchez, Gary,596142,2016,1037,0,48.2,12.7,43.8,6.4,75.6,63.8,34.3,40.0,19.2
Zunino, Mike,572287,2016,1401,3,48.1,10.5,36.6,20.0,67.2,59.1,38.8,52.5,28.3
Vazquez, Christian,543877,2016,1454,4,47.9,21.7,32.3,23.3,71.2,67.0,29.2,51.3,24.8
McCann, Brian,435263,2016,2506,0,47.8,11.7,25.0,6.6,76.0,53.9,48.6,52.1,22.7
Contreras, Willson,575929,2016,1625,0,47.8,12.8,32.0,8.3,71.5,59.6,45.3,52.0,29.8
Martin, Russell,431145,2016,3683,14,47.8,18.0,37.5,14.6,80.0,59.4,42.2,46.5,18.4
Perez, Carlos,542208,2016,2246,1,47.3,26.7,43.1,13.6,73.2,61.1,30.3,40.6,19.9
Sucre, Jesus,491696,2016,201,0,47.3,33.3,20.0,28.6,70.7,56.5,31.8,52.5,18.5
Murphy, John Ryan,571974,2016,681,0,47.3,17.2,45.0,13.6,68.9,56.6,43.7,49.3,15.3
Castillo, Welington,456078,2016,3198,1,47.1,13.4,26.9,6.7,70.0,57.7,37.0,48.8,24.5
Joseph, Caleb,543376,2016,1231,3,47.1,37.3,47.2,11.1,80.2,48.0,34.3,45.6,15.5
Molina, Yadier,425877,2016,4072,11,47.0,19.6,46.6,11.8,71.5,61.6,33.5,44.0,21.9
Alfaro, Jorge,595751,2016,126,0,46.8,33.3,54.5,20.0,77.3,37.5,55.6,40.6,26.3
Hedges, Austin,595978,2016,186,0,46.8,6.7,14.3,12.5,67.4,58.5,31.3,59.4,28.6
Bethancourt, Christian,542194,2016,1105,1,46.7,27.1,37.4,17.4,78.9,60.0,35.6,37.1,22.4
Stewart, Chris,455755,2016,813,0,46.6,7.7,12.3,2.7,73.4,50.6,38.0,53.7,42.5
Suzuki, Kurt,435559,2016,2798,1,46.6,19.7,44.2,17.6,73.2,61.7,32.0,36.1,17.9
Norris, Derek,519083,2016,3419,7,46.5,17.6,37.7,14.8,79.9,56.1,42.6,43.6,18.2
Federowicz, Tim,543148,2016,220,0,46.4,0.0,45.0,0.0,79.2,47.5,34.6,46.9,16.0
Romine, Austin,519222,2016,1197,-1,46.2,15.6,33.3,8.2,82.2,51.3,49.5,41.0,13.3
Rupp, Cameron,519237,2016,3099,-3,46.2,19.8,36.3,13.4,70.6,56.7,33.9,49.2,21.9
Butera, Drew,460077,2016,1077,0,46.1,17.5,20.8,12.8,75.9,59.6,37.5,51.3,17.5
Fryer, Eric,518700,2016,988,0,46.0,20.0,23.8,4.3,75.3,50.8,36.4,51.9,24.5
McCann, James,543510,2016,2650,-3,46.0,31.0,43.4,23.0,78.6,61.1,32.4,31.0,12.5
Swihart, Blake,596119,2016,208,0,45.7,11.1,33.3,18.2,63.2,79.2,27.3,29.7,17.9
Rosario, Alberto,451705,2016,286,0,45.5,9.1,22.7,16.7,73.8,41.5,45.9,48.4,26.5
Ramos, Wilson,467092,2016,3478,1,45.5,33.7,52.7,10.5,81.7,51.9,34.0,33.5,10.9
Soto, Geovany,434567,2016,603,-1,45.4,17.1,44.6,15.0,68.2,69.7,23.5,37.0,25.8
Nicholas, Brett,592592,2016,350,0,45.4,12.5,43.9,37.5,81.0,44.7,31.3,43.8,11.5
Bandy, Jett,542908,2016,1727,-2,45.2,11.4,42.9,23.0,67.4,69.7,29.1,39.8,19.8
Casali, Curt,592200,2016,1932,4,45.2,30.0,36.7,15.5,87.0,54.8,30.6,36.6,12.0
Kelly, Carson,608348,2016,111,0,45.0,16.7,33.3,40.0,65.0,63.0,22.2,33.3,35.7
Gimenez, Chris,460269,2016,1301,-2,44.8,11.6,31.4,12.1,77.6,58.5,38.6,44.1,18.8
Ellis, A.J.,454560,2016,1527,1,44.7,21.2,39.6,10.6,78.3,58.7,31.9,35.5,16.0
Realmuto, J.T.,592663,2016,3782,-11,44.7,14.8,26.9,4.6,74.9,50.7,36.9,46.0,19.1
Barnhart, Tucker,571466,2016,3292,-4,44.7,12.8,18.4,7.2,71.4,56.0,39.9,52.7,24.9
Leon, Sandy,506702,2016,2015,-7,44.5,22.6,52.0,23.7,73.2,57.8,22.0,32.6,12.8
Wilson, Bobby,435064,2016,2069,-2,44.4,18.6,34.4,8.8,78.3,54.5,26.9,46.4,18.6
Gomes, Yan,543228,2016,1924,0,44.3,25.4,33.6,13.2,81.9,46.6,39.4,38.8,20.6
Lucroy, Jonathan,518960,2016,3737,-5,44.2,13.8,29.7,6.1,73.0,52.3,34.0,48.8,21.6
Gosewisch, Tuffy,488912,2016,837,-2,44.2,10.4,20.9,0.0,66.5,51.7,40.6,50.5,19.4
Brown, Trevor,623143,2016,1239,-1,44.1,14.5,33.6,2.2,78.6,56.5,27.3,39.8,15.4
Vogt, Stephen,519390,2016,3048,-12,43.8,15.3,37.9,13.9,73.7,57.9,28.0,36.7,20.9
Conger, Hank,474233,2016,1118,-2,43.8,17.7,41.3,13.6,75.4,57.1,31.9,40.5,19.4
Maxwell, Bruce,622194,2016,648,-1,43.4,6.1,36.4,11.1,73.0,51.4,32.9,42.5,23.3
Phegley, Josh,572033,2016,703,-2,43.4,5.7,29.7,0.0,68.6,52.4,24.0,51.7,22.6
Narvaez, Omar,553882,2016,841,-1,43.4,28.3,47.9,15.4,71.0,61.4,24.0,31.4,8.0
Severino, Pedro,600474,2016,335,-1,43.3,7.7,30.8,9.1,57.4,54.4,19.0,57.0,21.9
Murphy, Tom,608596,2016,289,0,43.3,9.1,31.3,0.0,76.0,61.8,13.3,48.1,15.6
Navarro, Dioner,425900,2016,2660,-10,43.3,21.4,42.2,27.0,67.0,66.2,18.8,28.2,13.1
McBride, Matt,473724,2016,321,0,43.3,19.0,33.3,0.0,74.1,61.8,22.2,35.8,8.8
Wieters, Matt,446308,2016,3482,-10,42.9,26.5,35.5,10.3,83.6,48.8,36.4,34.2,11.3
Saltalamacchia, Jarrod,457454,2016,1804,-6,42.7,22.9,40.6,22.4,73.6,61.7,22.5,23.1,14.2
Perez, Salvador,521692,2016,3850,-17,42.5,21.1,41.5,17.2,72.7,57.2,24.6,32.7,14.8
Hundley, Nick,460026,2016,2205,-7,42.3,17.8,31.0,12.9,70.0,60.8,29.6,36.9,18.3
Ruiz, Carlos,434563,2016,1731,-8,42.3,16.9,28.6,8.2,77.9,42.9,36.9,42.1,13.1
Pena, Francisco,506747,2016,322,-1,42.2,20.8,41.9,20.0,72.9,55.4,26.9,28.4,27.5
Iannetta, Chris,455104,2016,2702,-14,42.0,13.2,34.6,8.3,69.6,56.7,23.5,39.0,20.3
Maile, Luke,571912,2016,1031,-2,42.0,23.2,41.9,12.7,78.3,53.7,24.1,34.6,14.0
Pierzynski, A.J.,150229,2016,1829,-8,41.8,13.4,30.9,8.3,73.0,55.7,31.7,40.9,14.4
Garneau, Dustin,572863,2016,560,-1,41.8,16.1,35.4,7.4,75.0,43.3,42.6,38.3,18.2
Avila, Alex,488671,2016,1475,-5,41.6,12.9,28.7,17.1,69.6,59.7,24.6,33.3,18.4
Pina, Manny,444489,2016,493,-1,41.4,12.9,28.6,5.3,70.9,46.4,37.3,42.1,18.4
Thole, Josh,489365,2016,1122,0,41.4,18.2,45.8,15.6,77.3,54.0,23.9,33.3,6.1
Clevenger, Steve,502182,2016,569,-2,40.8,2.9,20.7,22.2,66.4,48.8,30.4,43.8,20.0
Herrmann, Chris,543302,2016,923,-4,40.7,14.6,34.5,24.1,66.0,63.6,18.6,32.5,19.0
Centeno, Juan,518542,2016,1436,-9,40.6,11.3,30.8,6.0,75.0,47.6,27.2,32.5,9.4
Chirinos, Robinson,455139,2016,1408,-6,40.5,18.5,35.5,12.2,69.0,56.6,22.2,36.8,16.8
Hanigan, Ryan,452672,2016,988,-5,40.1,19.1,45.3,20.5,72.3,47.2,20.7,34.2,7.3
Mesoraco, Devin,519023,2016,405,-1,39.8,18.5,19.4,0.0,82.2,46.9,25.0,38.0,14.0
Holaday, Bryan,592407,2016,1057,-6,39.7,7.1,29.8,6.0,74.7,49.8,29.0,33.5,26.9
Recker, Anthony,489232,2016,828,-5,39.6,14.3,30.4,5.1,69.9,55.0,22.2,38.8,15.3
Susac, Andrew,572180,2016,116,0,38.8,33.3,44.4,25.0,65.2,50.0,22.2,30.0,15.8
Stassi, Max,545358,2016,128,0,38.3,9.1,37.5,10.0,72.7,50.0,12.5,42.4,8.3
Cabrera, Ramon,541608,2016,1382,-15,35.7,8.6,20.5,10.5,62.3,50.0,43.3,33.6,15.6
Sanchez, Hector,516949,2016,376,-2,34.3,28.0,29.3,11.5,72.4,44.3,12.5,21.6,3.1